Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,569.0,569.0,569.0,569.0,569.0,0
1990-01-03,569.0999755859375,569.0999755859375,569.0999755859375,569.0999755859375,569.0999755859375,0
1990-01-04,571.0,571.0,571.0,571.0,571.0,0
1990-01-05,566.4000244140625,566.4000244140625,566.4000244140625,566.4000244140625,566.4000244140625,0
1990-01-08,568.0,568.0,568.0,568.0,568.0,0
1990-01-09,563.2000122070312,563.2000122070312,563.2000122070312,563.2000122070312,563.2000122070312,0
1990-01-10,560.0999755859375,560.0999755859375,560.0999755859375,560.0999755859375,560.0999755859375,0
1990-01-11,561.5999755859375,561.5999755859375,561.5999755859375,561.5999755859375,561.5999755859375,0
1990-01-12,554.2999877929688,554.2999877929688,554.2999877929688,554.2999877929688,554.2999877929688,0
1990-01-15,551.0,551.0,551.0,551.0,551.0,0
1990-01-16,544.9000244140625,544.9000244140625,544.9000244140625,544.9000244140625,544.9000244140625,0
1990-01-18,539.7000122070312,539.7000122070312,539.7000122070312,539.7000122070312,539.7000122070312,0
1990-01-19,539.5999755859375,539.5999755859375,539.5999755859375,539.5999755859375,539.5999755859375,0
1990-01-22,536.2000122070312,536.2000122070312,536.2000122070312,536.2000122070312,536.2000122070312,0
1990-01-23,536.5,536.5,536.5,536.5,536.5,0
1990-01-24,534.2999877929688,534.2999877929688,534.2999877929688,534.2999877929688,534.2999877929688,0
1990-01-25,534.2999877929688,534.2999877929688,534.2999877929688,534.2999877929688,534.2999877929688,0
1990-01-26,535.5999755859375,535.5999755859375,535.5999755859375,535.5999755859375,535.5999755859375,0
1990-01-29,540.5,540.5,540.5,540.5,540.5,0
1990-01-30,538.9000244140625,538.9000244140625,538.9000244140625,538.9000244140625,538.9000244140625,0
1990-01-31,539.9000244140625,539.9000244140625,539.9000244140625,539.9000244140625,539.9000244140625,0
1990-02-01,541.5999755859375,541.5999755859375,541.5999755859375,541.5999755859375,541.5999755859375,0
1990-02-02,543.9000244140625,543.9000244140625,543.9000244140625,543.9000244140625,543.9000244140625,0
1990-02-05,545.4000244140625,545.4000244140625,545.4000244140625,545.4000244140625,545.4000244140625,0
1990-02-06,546.0999755859375,546.0999755859375,546.0999755859375,546.0999755859375,546.0999755859375,0
1990-02-07,544.2999877929688,544.2999877929688,544.2999877929688,544.2999877929688,544.2999877929688,0
1990-02-08,543.9000244140625,543.9000244140625,543.9000244140625,543.9000244140625,543.9000244140625,0
1990-02-09,541.5,541.5,541.5,541.5,541.5,0
1990-02-12,539.2999877929688,539.2999877929688,539.2999877929688,539.2999877929688,539.2999877929688,0
1990-02-13,537.5999755859375,537.5999755859375,537.5999755859375,537.5999755859375,537.5999755859375,0
1990-02-14,538.9000244140625,538.9000244140625,538.9000244140625,538.9000244140625,538.9000244140625,0
1990-02-15,542.2000122070312,542.2000122070312,542.2000122070312,542.2000122070312,542.2000122070312,0
1990-02-16,542.5,542.5,542.5,542.5,542.5,0
1990-02-19,540.2000122070312,540.2000122070312,540.2000122070312,540.2000122070312,540.2000122070312,0
1990-02-20,532.7000122070312,532.7000122070312,532.7000122070312,532.7000122070312,532.7000122070312,0
1990-02-21,524.9000244140625,524.9000244140625,524.9000244140625,524.9000244140625,524.9000244140625,0
1990-02-22,523.5999755859375,523.5999755859375,523.5999755859375,523.5999755859375,523.5999755859375,0
1990-02-23,514.4000244140625,514.4000244140625,514.4000244140625,514.4000244140625,514.4000244140625,0
1990-02-26,505.20001220703125,505.20001220703125,505.20001220703125,505.20001220703125,505.20001220703125,0
1990-02-27,510.6000061035156,510.6000061035156,510.6000061035156,510.6000061035156,510.6000061035156,0
1990-02-28,515.9000244140625,515.9000244140625,515.9000244140625,515.9000244140625,515.9000244140625,0
1990-03-01,510.70001220703125,510.70001220703125,510.70001220703125,510.70001220703125,510.70001220703125,0
1990-03-02,512.9000244140625,512.9000244140625,512.9000244140625,512.9000244140625,512.9000244140625,0
1990-03-05,511.8999938964844,511.8999938964844,511.8999938964844,511.8999938964844,511.8999938964844,0
1990-03-06,512.5999755859375,512.5999755859375,512.5999755859375,512.5999755859375,512.5999755859375,0
1990-03-07,509.8999938964844,509.8999938964844,509.8999938964844,509.8999938964844,509.8999938964844,0
1990-03-08,513.7000122070312,513.7000122070312,513.7000122070312,513.7000122070312,513.7000122070312,0
1990-03-09,511.29998779296875,511.29998779296875,511.29998779296875,511.29998779296875,511.29998779296875,0
1990-03-12,507.0,507.0,507.0,507.0,507.0,0
1990-03-13,500.3999938964844,500.3999938964844,500.3999938964844,500.3999938964844,500.3999938964844,0
1990-03-14,498.79998779296875,498.79998779296875,498.79998779296875,498.79998779296875,498.79998779296875,0
1990-03-15,499.70001220703125,499.70001220703125,499.70001220703125,499.70001220703125,499.70001220703125,0
1990-03-16,503.5,503.5,503.5,503.5,503.5,0
1990-03-19,496.6000061035156,496.6000061035156,496.6000061035156,496.6000061035156,496.6000061035156,0
1990-03-20,491.29998779296875,491.29998779296875,491.29998779296875,491.29998779296875,491.29998779296875,0
1990-03-21,488.6000061035156,488.6000061035156,488.6000061035156,488.6000061035156,488.6000061035156,0
